映画名,レビュー数
The Men Who Stare at Goats 2009,295
Doctor Zhivago 1965,294
Gandhi 1982,293
Tarzan 1999,293
Over the Hedge 2006,292
She's the Man 2006,292
The Danish Girl 2015,289
K-19: The Widowmaker 2002,289
The Secret in Their Eyes 2009,288
Empire Records 1995,288
Gettysburg 1993,287
The Book Thief 2013,286
The Love Guru 2008,286
Tucker and Dale vs Evil 2010,286
Who Framed Roger Rabbit 1988,285
Step Up 2006,285
The Battle of Algiers 1966,283
Liar Liar 1997,283
Donnie Brasco 1997,283
The Best Years of Our Lives 1946,282
Patton 1970,282
Deepwater Horizon 2016,280
The Little Mermaid 1989,278
Caddyshack 1980,278
Invictus 2009,277
P.S. I Love You 2007,276
Rules of Engagement 2000,276
The Legend of Bagger Vance 2000,275
Duck Soup 1933,275
The Hurricane 1999,274
The Mask 1994,273
Ran 1985,273
The Other Boleyn Girl 2008,272
The Legend of 1900 1998,272
Just Go with It 2011,271
Blades of Glory 2007,269
Child 44 2015,267
Ice Age: The Meltdown 2006,267
Legend 2015,266
Defiance 2008,265
The Replacements 2000,265
Spice World 1997,264
Selma 2014,264
Where Eagles Dare 1968,264
Begin Again 2013,263
The Piano 1993,263
Frost_Nixon 2008,262
Pocahontas 1995,262
Zulu 1964,261
Point Break 2015,260
The Red Violin 1998,259
The Guernsey Literary and Potato Peel Pie Society 2018,259
The Producers 1967,259
The World's Fastest Indian 2005,258
Home Alone 2: Lost in New York 1992,258
Megamind 2010,255
The Great Dictator 1940,254
Saturday Night Fever 1977,253
Burlesque 2010,252
The Lost City of Z 2016,251
A Night at the Roxbury 1998,251
1941 1979,250
MASH 1970,249
Black Book 2006,248
Crazy Heart 2009,248
Snow White and the Seven Dwarfs 1937,247
La Vie En Rose 2007,247
A Bridge Too Far 1977,246
Kung Fu Panda 2 2011,243
The Doors 1991,242
A Hard Day's Night 1964,242
Pirate Radio 2009,241
42 2013,240
Snowden 2016,240
Rocky III 1982,240
Tae Guk Gi: The Brotherhood of War 2004,240
All the President's Men 1976,240
Amistad 1997,239
For Love of the Game 1999,239
Incendies 2010,238
Friends with Benefits 2011,238
I'm Not There 2007,237
Elizabeth: The Golden Age 2007,237
Hedwig and the Angry Inch 2001,236
All Quiet on the Western Front 1930,236
Chariots of Fire 1981,235
The Wind that Shakes the Barley 2006,235
"I Love You, Man 2009",234
Centurion 2010,234
The Croods 2013,234
Coach Carter 2005,234
The Longest Day 1962,231
Castle in the Sky 1986,230
Dear John 2010,228
Bill & Ted's Excellent Adventure 1989,227
Happy New Year 2014,227
The Benchwarmers 2006,226
Walk Hard: The Dewey Cox Story 2007,226
That Thing You Do! 1996,225
Nausicaä of the Valley of the Wind 1984,225
Hotel Transylvania 2012,225
Black Snake Moan 2006,224
The Water Diviner 2014,223
Mary and Max 2009,222
Jersey Boys 2014,221
Pitch Perfect 2 2015,221
Shall We Dance 2004,221
Get Him to the Greek 2010,220
Macbeth 2015,219
Captain Corelli's Mandolin 2001,218
Hercules 1997,217
War Dogs 2016,215
Rise of the Guardians 2012,215
No Strings Attached 2011,214
Bolt 2008,214
Rocky II 1979,213
The Mission 1986,213
Rio 2011,212
Hustle & Flow 2005,212
The White Ribbon 2009,211
Monsters vs. Aliens 2009,211
Shrek Forever After 2010,210
Blue Crush 2002,210
The Natural 1984,208
Kelly's Heroes 1970,208
The Last Song 2010,207
Judgment at Nuremberg 1961,207
Tenacious D in the Pick of Destiny 2006,207
Airlift 2016,206
Lords of Dogtown 2005,206
BASEketball 1998,206
Kingpin 1996,206
Mississippi Burning 1988,204
Battleship Potemkin 1925,204
The Killing Fields 1984,203
Ip Man 2008,203
Born on the Fourth of July 1989,203
Detroit 2017,202
The Hustler 1961,202
The Way Back 2010,202
Radio 2003,202
Hart's War 2002,202
The Finest Hours 2016,199
Wayne's World 1992,196
Detroit Rock City 1999,196
Rock Star 2001,196
The Ugly Truth 2009,195
Hot Rod 2007,194
Sing Street 2016,194
Cold War 2018,194
